origin,season,color_name,size,application,bag_type,fabric,finishing,fit,foulard_type,outside_type,print,style,top_type,weather,nivel,dress/jumpsuit,grupo
WHOLE_SALE,9,green_light,M,freetime,,synthetic,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,green_light,S,freetime,,synthetic,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,orange,L,freetime,,synthetic,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,orange,M,freetime,,synthetic,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,orange,S,freetime,,synthetic,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,white,L,freetime,,synthetic,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,white,M,freetime,,synthetic,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,white,S,freetime,,synthetic,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,yellow_light,L,freetime,,synthetic,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,yellow_light,M,freetime,,synthetic,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,yellow_light,S,freetime,,synthetic,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,ecru,L,freetime,,synthetic,,straight,,,floral,boho,tops,warm,2,False,
WHOLE_SALE,9,ecru,M,freetime,,synthetic,,straight,,,floral,boho,tops,warm,2,False,
WHOLE_SALE,9,ecru,S,freetime,,synthetic,,straight,,,floral,boho,tops,warm,2,False,
WHOLE_SALE,9,black,L,freetime,,synthetic,,straight,,,floral,boho,tops,warm,2,False,
WHOLE_SALE,9,black,M,freetime,,synthetic,,straight,,,floral,boho,tops,warm,2,False,
WHOLE_SALE,9,black,S,freetime,,synthetic,,straight,,,floral,boho,tops,warm,2,False,
WHOLE_SALE,9,black,L,freetime,,lace,transparent,straight,,,smooth,boho,tops,warm_season,2,False,
WHOLE_SALE,9,black,M,freetime,,lace,transparent,straight,,,smooth,boho,tops,warm_season,2,False,
WHOLE_SALE,9,black,S,freetime,,lace,transparent,straight,,,smooth,boho,tops,warm_season,2,False,
WHOLE_SALE,9,fuchsia,L,freetime,,chiffon,transparent,straight,,,sheets,boho,tops,warm,2,False,
WHOLE_SALE,9,fuchsia,M,freetime,,chiffon,transparent,straight,,,sheets,boho,tops,warm,2,False,
WHOLE_SALE,9,fuchsia,S,freetime,,chiffon,transparent,straight,,,sheets,boho,tops,warm,2,False,
WHOLE_SALE,9,beige,L,freetime,,synthetic,,straight,,,floral,boho,tops,warm,2,False,
WHOLE_SALE,9,beige,M,freetime,,synthetic,,straight,,,floral,boho,tops,warm,2,False,
WHOLE_SALE,9,beige,S,freetime,,synthetic,,straight,,,floral,boho,tops,warm,2,False,
WHOLE_SALE,9,fuchsia,L,freetime,,synthetic,,straight,,,floral,boho,tops,warm,2,False,
WHOLE_SALE,9,fuchsia,M,freetime,,synthetic,,straight,,,floral,boho,tops,warm,2,False,
WHOLE_SALE,9,fuchsia,S,freetime,,synthetic,,straight,,,floral,boho,tops,warm,2,False,
WHOLE_SALE,9,blue,L,freetime,,popeline,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,blue,M,freetime,,popeline,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,blue,S,freetime,,popeline,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,blue_light,L,freetime,,popeline,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,blue_light,M,freetime,,popeline,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,blue_light,S,freetime,,popeline,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,green_light,L,freetime,,popeline,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,green_light,M,freetime,,popeline,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,green_light,S,freetime,,popeline,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,pink,L,freetime,,popeline,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,pink,M,freetime,,popeline,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,pink,S,freetime,,popeline,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,white,L,freetime,,popeline,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,white,M,freetime,,popeline,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,white,S,freetime,,popeline,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,pink,L,freetime,,synthetic,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,pink,M,freetime,,synthetic,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,pink,S,freetime,,synthetic,,straight,,,smooth,boho,tops,warm,2,False,
MAINSTREAM,9,brown,L,freetime,,thread,,straight,,,vertical_stripes,boho,tops,warm,2,False,
MAINSTREAM,9,brown,S,freetime,,thread,,straight,,,vertical_stripes,boho,tops,warm,2,False,
MAINSTREAM,9,brown,XL,freetime,,thread,,straight,,,vertical_stripes,boho,tops,warm,2,False,
MAINSTREAM,9,brown,XS,freetime,,thread,,straight,,,vertical_stripes,boho,tops,warm,2,False,
MAINSTREAM,9,grey_blue,L,freetime,,thread,,straight,,,vertical_stripes,boho,tops,warm,2,False,
MAINSTREAM,9,grey_blue,S,freetime,,thread,,straight,,,vertical_stripes,boho,tops,warm,2,False,
MAINSTREAM,9,grey_blue,XL,freetime,,thread,,straight,,,vertical_stripes,boho,tops,warm,2,False,
MAINSTREAM,9,grey_blue,XS,freetime,,thread,,straight,,,vertical_stripes,boho,tops,warm,2,False,
MAINSTREAM,9,black,L,freetime,,thread,touchable,tight,,,polka_dot,boho,tops,warm,2,False,
MAINSTREAM,9,black,M,freetime,,thread,touchable,tight,,,polka_dot,boho,tops,warm,2,False,
MAINSTREAM,9,black,S,freetime,,thread,touchable,tight,,,polka_dot,boho,tops,warm,2,False,
MAINSTREAM,9,black,XL,freetime,,thread,touchable,tight,,,polka_dot,boho,tops,warm,2,False,
MAINSTREAM,9,black,XS,freetime,,thread,touchable,tight,,,polka_dot,boho,tops,warm,2,False,
MAINSTREAM,9,black,XXL,freetime,,thread,touchable,tight,,,polka_dot,boho,tops,warm,2,False,
MAINSTREAM,9,black,XXXL,freetime,,thread,touchable,tight,,,polka_dot,boho,tops,warm,2,False,
WHOLE_SALE,9,brick,L,freetime,,cheesecloth,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,brick,M,freetime,,cheesecloth,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,brick,S,freetime,,cheesecloth,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,white,L,freetime,,natural,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,white,M,freetime,,natural,,straight,,,smooth,boho,tops,warm,2,False,
